latitude,longitude,cluster_id,student_count,stop_name
,,154,50,CHEPAUK
,,155,50,Q.M.C
,,156,50,FORESHORE ESTATE
,,157,50,A.M.S.HOSPITAL
,,158,50,ADYAR O.T.
,,159,50,ADYAR DEPOT
,,160,50,SRP TOOLS
,,161,50,KANDANCHAVADI
,,162,50,THORAPPAKKAM TEA SHOP
,,163,50,OKK.THORAIPAKM SEC.COLONY
,,164,50,BROADWAY
,,165,50,SECRETARIAT
,,166,50,CHEPAUK
,,167,50,Q.M.C
,,168,50,FORESHORE ESTATE
,,169,50,A.M.S.HOSPITAL
,,170,50,ADYAR O.T.
,,171,50,INDIRA NAGAR WATER TANK
,,172,50,SRP TOOLS
,,173,50,KANDANCHAVADI
,,174,50,THORAPPAKKAM TEA SHOP
,,175,50,MOOTAKARAN CHAVADI
,,176,50,KARAPAKKAM
,,177,50,SHOZHANGANALLUR P.U.OFFICE
,,178,50,KUMARAN NAGAR
,,179,50,SEMMANCHERI
,,180,50,NAVALUR
,,181,50,CHURCH
,,182,50,PALAVASTHIC CHEMICALS
,,183,50,HINDUSTAN ENG. COLLEGE
,,184,50,KELAMBAKKAM
,,185,50,CHENGAMMAL RD. JN.
,,186,50,KOMAN NAGAR RD JN.
,,187,50,KALAVAKKAM TEA STALL
,,188,50,THIRUPORUR
,,189,50,AVADI
,,190,50,POLYTECHNIC
,,191,50,THIRUMULLAIVOYAL
,,192,50,AMBATTUR O.T.
,,193,50,DUNLOP
,,194,50,AMBATTUR I.E.
,,195,50,NOLAMBUR SERVICE RD
,,196,50,MADURAVOYAL JN
,,197,50,TVS MCC MOTORS
,,198,50,TOLL PLAZA
,,199,50,PORUR JN
,,200,50,MANGADU RD JN
,,201,50,KOVOOR RD JN
,,202,50,PAMMAL ADAYAR BRIDGE
,,203,50,THENDRAL NAGAR
,,204,50,THIRUNEERMALAI RD.JN.
,,205,50,PETROL BUNK
,,206,50,MUDICHUR RD.JN.
,,207,50,IRUMBULIYUR
,,208,50,PERUNGALATHUR
,,209,50,VANDALUR GATE
,,210,50,VANDALUR ZOO
,,211,50,KILAMBAKKAM B.S.
,,212,50,M.G.R.KOYAMBEDU
,,213,50,KOYAMBEDU SCHOOL
,,214,50,NERKUNDRAM
,,215,50,MADURAVOYAL
,,216,50,TVS MCC MOTORS
,,217,50,TOLL PLAZA
,,218,50,PORUR JN
,,219,50,MANGADU RD JN
,,220,50,KOVOOR RD JN
,,221,50,PAMMAL ADAYAR BRIDGE
,,222,50,THENDRAL NAGAR
,,223,50,THIRUNEERMALAI RD.JN.
,,224,50,PETROL BUNK
,,225,50,MUDICHUR RD.JN.
,,226,50,PERUNGALATHUR
,,227,50,VANDALUR GATE
,,228,50,VANDALUR ZOO
,,229,50,KILAMBAKKAM B.S.
,,230,50,M.G.R.KOYAMBEDU
,,231,50,KOYAMBEDU SCHOOL
,,232,50,NERKUNDRAM
,,233,50,MADURAVOYAL
,,234,50,TVS MCC MOTORS
,,235,50,TOLL PLAZA
,,236,50,PORUR JN
,,237,50,MANGADU RD JN
,,238,50,KOVOOR RD JN
,,239,50,PAMMAL ADAYAR BRIDGE
,,240,50,THENDRAL NAGAR
,,241,50,THIRUNEERMALAI RD.JN.
,,242,50,PETROL BUNK
,,243,50,MUDICHUR RD.JN.
,,244,50,PERUNGALATHUR
,,245,50,VANDALUR GATE
,,246,50,VANDALUR ZOO
,,247,50,URAPAKKAM
,,248,50,PALAKKA COMPANY
,,249,50,GUDUVANCHERY
,,250,50,MADHAVARAM B.S.
,,251,50,MADHAVARAM POST BOX
,,252,50,MOOLAKADAI
,,253,50,KALPANA LAMPS/MADHAVARAM
,,254,50,BUS BAY-17TH KM
,,255,50,MALLIGAI NAGAR AVE
,,256,50,THATHANKUPPAM
,,257,50,LUCAS TVS
,,258,50,AMBATTUR I.E.
,,259,50,NOLAMBUR SERVICE RD
,,260,50,MADURAVOYAL JN
,,261,50,TVS MCC MOTORS
,,262,50,TOLL PLAZA
,,263,50,PORUR JN
,,264,50,MANGADU RD JN
,,265,50,KOVOOR RD JN
,,266,50,PAMMAL ADAYAR BRIDGE
,,267,50,THENDRAL NAGAR
,,268,50,THIRUNEERMALAI RD.JN.
,,269,50,PETROL BUNK
,,270,50,MUDICHUR RD.JN.
,,271,50,PERUNGALATHUR
,,272,50,VANDALUR GATE
,,273,50,VANDALUR ZOO
,,274,50,KILAMBAKKAM B.S.
,,275,50,M.K.B.NAGAR
,,276,50,VYASARPADI
,,277,50,P1.POLICE STATION
,,278,50,DASAMAHAN
,,279,50,SAYANI/AYNAVARAM
,,280,50,KAMABAR ARANGAM
,,281,50,NATHAMUNI TALKIES
,,282,50,LUCAS TVS
,,283,50,AMBATTUR I.E.
,,284,50,NOLAMBUR SERVICE RD
,,285,50,MADURAVOYAL JN
,,286,50,TVS MCC MOTORS
,,287,50,TOLL PLAZA
,,288,50,PORUR JN
,,289,50,MANGADU RD JN
,,290,50,KOVOOR RD JN
,,291,50,PAMMAL ADAYAR BRIDGE
,,292,50,THENDRAL NAGAR
,,293,50,THIRUNEERMALAI RD.JN.
,,294,50,PETROL BUNK
,,295,50,MUDICHUR RD.JN.
,,296,50,PERUNGALATHUR
,,297,50,VANDALUR GATE
,,298,50,VANDALUR ZOO
,,299,50,KILAMBAKKAM B.S.
,,300,50,REDHILLS
,,301,50,AYURVEDHA ASHARAMAM
,,302,50,KAVANGARAI
,,303,50,SCREW FACTORY
,,304,50,SURAPEDU
,,305,50,KALLIKUPPAM
,,306,50,PUDUR
,,307,50,AMBATTUR O.T.
,,308,50,DUNLOP
,,309,50,AMBATTUR I.E.
,,310,50,NALAMBUR SERVICE RD
,,311,50,MADURAVOYAL JN
,,312,50,TVS MCC MOTORS
,,313,50,TOLL PLAZA
,,314,50,PORUR JN
,,315,50,MANGADU RD JN
,,316,50,KOVOOR RD JN
,,317,50,PAMMAL ADAYAR BRIDGE
,,318,50,THENDRAL NAGAR
,,319,50,THIRUNEERMALAI RD JN.
,,320,50,PETROL BUNK
,,321,50,MUDICHUR RD JN.
,,322,50,PERUNGALATHUR
,,323,50,VANDALUR GATE
,,324,50,VANDALUR ZOO
,,325,50,KILAMBAKKAM B.S.
,,326,50,M.M.B.T.
,,327,50,MALLIGAI NAGAR AVE
,,328,50,THATHANKUPPAM
,,329,50,LUCAS TVS
,,330,50,AMBATTUR I.E.
,,331,50,NOLAMBUR SERVICE RD
,,332,50,MADURAVOYAL JN
,,333,50,TVS MCC MOTORS
,,334,50,TOLL PLAZA
,,335,50,PORUR JN
,,336,50,MANGADU RD JN
,,337,50,KOVOOR RD JN
,,338,50,PAMMAL ADAYAR BRIDGE
,,339,50,THENDRAL NAGAR
,,340,50,THIRUNEERMALAI RD.JN.
,,341,50,PETROL BUNK
,,342,50,MUDICHUR RD.JN.
,,343,50,IRUMBULIYUR
,,344,50,PERUNGALATHUR
,,345,50,VANDALUR GATE
,,346,50,VANDALUR ZOO
,,347,50,KILAMBAKKAM B.S.
,,348,50,PERAMBUR
,,349,50,VENUS
,,350,50,SRP COLONY
,,351,50,KOLATHUR NEHRU NAGAR RD.JN.
,,352,50,MALLIGAI NAGAR AVE
,,353,50,THATHANKUPPAM
,,354,50,LUCAS TVS
,,355,50,AMBATTUR I.E.
,,356,50,NOLAMBUR SERVICE RD
,,357,50,MADURAVOYAL JN
,,358,50,TVS MCC MOTORS
,,359,50,TOLL PLAZA
,,360,50,PORUR JN
,,361,50,MANGADU RD JN
,,362,50,KOVOOR RD JN
,,363,50,PAMMAL ADAYAR BRIDGE
,,364,50,THENDRAL NAGAR
,,365,50,THIRUNEERMALAI RD.JN.
,,366,50,PETROL BUNK
,,367,50,MUDICHUR RD.JN.
,,368,50,PERUNGALATHUR
,,369,50,VANDALUR GATE
,,370,50,VANDALUR ZOO
,,371,50,KILAMBAKKAM B.S.
,,372,50,THIRU.VI.KA.NAGAR
,,373,50,SRP COLONY
,,374,50,KOLATHUR NEHRU NAGAR RD.JN.
,,375,50,MALLIGAI NAGAR AVE
,,376,50,THATHANKUPPAM
,,377,50,LUCAS TVS
,,378,50,AMBATTUR I.E.
,,379,50,NOLAMBUR SERVICE RD
,,380,50,MADURAVOYAL JN
,,381,50,TVS MCC MOTORS
,,382,50,TOLL PLAZA
,,383,50,PORUR JN
,,384,50,MANGADU RD JN
,,385,50,KOVOOR RD JN
,,386,50,PAMMAL ADAYAR BRIDGE
,,387,50,THENDRAL NAGAR
,,388,50,THIRUNEERMALAI RD.JN.
,,389,50,PETROL BUNK
,,390,50,MUDICHUR RD.JN.
,,391,50,PERUNGALATHUR
,,392,50,VANDALUR GATE
,,393,50,VANDALUR ZOO
,,394,50,KILAMBAKKAM B.S.
,,395,50,TAMBARAM WEST
,,396,50,TAMBARAM EAST
,,397,50,CONVENT
,,398,50,CAMP ROAD
,,399,50,BALAJI NAGAR (BHARATH ENG COL)
,,400,50,MADAMBAKKAM KOIL
,,401,50,NOOTHANCHERI
,,402,50,JN.OF MAMBAKKAM & O.BAKKAM RD.
,,403,50,CHITHALAPAKKAM
,,404,50,ARASANKAZHANI
,,405,50,OTTIAMBAKKAM
,,406,50,KARANAI
,,407,50,THALAMBUR
,,408,50,NAVALUR
,,409,50,SIPCOT
,,410,50,SIRUSERI I.T.PARK
,,411,50,BROADWAY
,,412,50,SECRETARIAT
,,413,50,CHEPAUK
,,414,50,Q.M.C
,,415,50,FORESHORE ESTATE
,,416,50,A.M.S.HOSPITAL
,,417,50,ADYAR O.T.
,,418,50,ADYAR DEPOT
,,419,50,THIRUVANMIYUR
,,420,50,KOTTIVAKKAM
,,421,50,PALAVAKKAM
,,422,50,NEELANKARAI
,,423,50,VETTUVANKENI
,,424,50,CHOLA MANDAL
,,425,50,V.G.P.
,,426,50,PANAIYUR
,,427,50,UTHANDI VILLAGE
,,428,50,KANATHUR
,,429,50,NATURE CARE HOSPITAL
,,430,50,MUTTUKKADU
,,431,50,MUTTUKKADU BOAT YARD
,,432,50,KOVALAM
,,433,50,SEMMENCHERI KUPPAM
,,434,50,THIRUVIDANTHAI
,,435,50,THIRUVANMIYUR
,,436,50,KOTTIVAKKAM
,,437,50,PALAVAKKAM
,,438,50,NEELANKARAI
,,439,50,VETTUVANKENI
,,440,50,CHOLA MANDAL
,,441,50,V.G.P.
,,442,50,PANAIYUR
,,443,50,UTHANDI VILLAGE
,,444,50,KANATHUR
,,445,50,NATURE CARE HOSPITAL
,,446,50,MUTTUKKADU
,,447,50,MUTTUKKADU BOAT YARD
,,448,50,KOVALAM
,,449,50,ADYAR B.S.
,,450,50,ADYAR DEPOT
,,451,50,THIRUVANMIYUR
,,452,50,KOTTIVAKKAM
,,453,50,PALAVAKKAM
,,454,50,NEELANKARAI
