MTC Bus Route Options
==================================================

1. Value: '1' | Text: '--Route--'
178. Value: '27D' | Text: '27D'
179. Value: '28A' | Text: '28A'
180. Value: '28B' | Text: '28B'
181. Value: '297' | Text: '297'
182. Value: '29A' | Text: '29A'
183. Value: '29AET' | Text: '29AET'
184. Value: '29AEX' | Text: '29AEX'
185. Value: '29B' | Text: '29B'
186. Value: '29C' | Text: '29C'
187. Value: '29CET' | Text: '29CET'
188. Value: '29CEX' | Text: '29CEX'
189. Value: '29D' | Text: '29D'
190. Value: '29E' | Text: '29E'
191. Value: '29ET' | Text: '29ET'
192. Value: '29NET' | Text: '29NET'
193. Value: '2A' | Text: '2A'
194. Value: '2B' | Text: '2B'
195. Value: '3' | Text: '3'
196. Value: '31A' | Text: '31A'
197. Value: '31B' | Text: '31B'
198. Value: '31G' | Text: '31G'
199. Value: '31M' | Text: '31M'
200. Value: '31P' | Text: '31P'
201. Value: '32A' | Text: '32A'
202. Value: '32B' | Text: '32B'
203. Value: '33B' | Text: '33B'
204. Value: '33C' | Text: '33C'
205. Value: '33L' | Text: '33L'
206. Value: '34' | Text: '34'
207. Value: '35' | Text: '35'
208. Value: '35C' | Text: '35C'
209. Value: '36K' | Text: '36K'
210. Value: '36M' | Text: '36M'
211. Value: '36V' | Text: '36V'
212. Value: '37' | Text: '37'
213. Value: '37CT' | Text: '37CT'
214. Value: '37E' | Text: '37E'
215. Value: '37ECT' | Text: '37ECT'
216. Value: '37G' | Text: '37G'
217. Value: '38A' | Text: '38A'
218. Value: '38C' | Text: '38C'
219. Value: '38D' | Text: '38D'
220. Value: '38G' | Text: '38G'
221. Value: '38H' | Text: '38H'
222. Value: '3CT' | Text: '3CT'
223. Value: '4' | Text: '4'
224. Value: '40A' | Text: '40A'
225. Value: '40H' | Text: '40H'
226. Value: '40L' | Text: '40L'
227. Value: '40N' | Text: '40N'
228. Value: '41D' | Text: '41D'
229. Value: '42' | Text: '42'
230. Value: '42B' | Text: '42B'
