route_number,stop_number,stop_name,sequence
101,1,THIRUVOTRIYUR,1
101,2,THRUVOTRIYUR TEMPLE,2
101,3,THANGAL,3
101,4,ANNA NAGAR,4
101,5,ROYAPURAM P.S,5
101,6,CLIVE BATTERY,6
101,7,PARRYS,7
101,8,M.G.R.CENTRAL,8
101,9,DASAPRAKASH,9
101,10,TAYLORS ROAD,10
101,11,AMINJIKARAI,11
101,12,NADUVANKARAI,12
101,13,ARUMBAKKAM,13
101,14,NERKUNDRAM,14
101,15,MADURAVOYAL,15
101,16,VAANAGARAM,16
101,17,VELAPPANCHAVADI,17
101,18,KUMUNANCHAVADI,18
101,19,POONAMALLEE,19
