cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
49,12.61509002457393,79.75912092599346,12.6152364,79.7591194,Bukkathurai - Uthiramerur Road,arterial,84658230,16.28,3
50,13.046452633193866,80.18518673878161,13.0449255,80.1859977,Arcot Road,arterial,1040730357,191.19,14
51,13.004163531860764,80.10754476318988,13.0053498,80.1077229,Kodambakkam – Sriperumbudur Road,arterial,834623263,133.31,2
52,12.804877705096024,79.76806782977064,12.8043217,79.7682319,Chengalpattu - Kancheepuram Highway,highway,84658039,64.33,2
53,12.928620804822708,80.1269199870889,12.9318015,80.1230704,Grand Southern Trunk Road,arterial,1196754721,546.94,18
54,13.050625229219978,80.09285950884596,13.0505209,80.092928,Chennai - Chittoor - Bangalore Road (Old NH4),arterial,30128960,13.77,23
55,13.128798637002989,80.13015767271094,13.1307576,80.1305618,Chennai - Tiruttani - Renigunta Road,highway,817536016,222.18,31
56,13.252112801257278,80.15773579578571,13.2522051,80.1554569,Grand Northern Trunk Road (Old NH5),arterial,176037626,246.87,3
57,13.176991039252462,80.02309449028074,13.1770065,80.0292554,Korattur – Thinnanur – Periyapalayam Road,arterial,834092625,667.03,2
58,13.054168358843212,80.22931463603257,13.05411,80.229353,Kodambakkam Railway Flyover,arterial,23186335,7.71,7
59,12.89667588642226,79.49775029221647,12.8964873,79.4979044,NH48,highway,1286309253,26.81,2
60,13.145675722404258,80.24240883810177,13.1464727,80.2401984,Unnamed secondary Road,arterial,26808926,255.23,9
61,13.039926257485934,80.2050237800083,13.0401134,80.2050964,PT Rajan Salai,arterial,25466218,22.25,25
62,13.409066659263114,80.12136658277609,13.4087761,80.1211767,NH16,highway,1287923970,38.28,2
63,13.085865689056533,80.22577785551478,13.0852877,80.224195,Anna Nagar 2nd Avenue,arterial,23306352,183.09,18
64,12.879106185853283,79.93661478242367,12.8791391,79.9366357,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,arterial,24162910,4.31,5
65,13.095213778766077,80.14637700659794,13.0974571,80.1462648,Thiruverkadu - Ambattur Road,arterial,385244157,249.74,9
66,12.85113672857656,80.06936935160313,12.8523903,80.0665875,Grand Southern Trunk Road,highway,98357300,332.23,2
67,13.120172407191282,80.05425832480036,13.1199574,80.0522794,ORR Service Road,arterial,1075752717,215.63,7
68,12.91693981092351,80.19395751586337,12.9169387,80.1939435,Velachery Mudhanmai Salai,arterial,1198741667,1.52,13
69,13.084591497312545,80.27797380944597,13.0834125,80.2782213,Memorial Hall Road,arterial,217848745,133.81,2
70,12.97441864528412,80.18542358785112,12.9722223,80.1912881,Mount - Medavakkam Road,arterial,179253495,680.77,16
71,12.996864812140524,80.2627702874614,12.9962673,80.2624653,Mahatma Gandhi Road,arterial,23761075,74.2,6
72,13.149508482840938,80.29887481510417,13.1495337,80.2988791,Chennai - Ennore Road,arterial,1104548949,2.84,10
73,13.163911183002694,80.20220486678971,13.1641203,80.2024375,Grand Northern Trunk Road,highway,1294900820,34.28,9
74,12.925136867175452,79.88186770261323,12.9263879,79.8811874,Chennai - Chittoor - Bangalore Road,arterial,840150465,157.44,4
75,12.820322149544062,79.6947479587176,12.8196396,79.6954967,Kancheepuram - Vandavasi Road,arterial,102270131,111.13,30
76,13.060102581114336,80.2739415371018,13.0600572,80.274274,Triplicane High Road,arterial,23019250,36.36,15
77,12.780319716449371,79.67759718862416,12.780219,79.6776669,Kancheepuram - Vandavasi Road,arterial,826468860,13.51,5
78,12.871183815886504,79.71116305462384,12.8712678,79.7112987,NH48,highway,1417018144,17.42,3
79,13.060420613931402,80.13569742869755,13.0608277,80.135595,NH48,highway,1236769443,46.61,12
80,12.98209371846997,79.96813863583486,12.9814932,79.967806,NH48,highway,1394470453,75.88,4
81,13.119907283114411,80.07356488524483,13.1192282,80.0733776,Chennai - Tiruttani - Renigunta Road,highway,1149807909,78.19,12
82,13.09837357940097,79.86098761925305,13.0977707,79.8605871,Kadambathur Bridge,arterial,1172469403,79.85,2
83,13.06055811657392,80.16332016204029,13.0606091,80.1638857,Alapakkam Main Road,arterial,25454759,61.52,11
84,13.17035464675532,80.09724654872052,13.1785269,80.0970981,ORR Service Road,arterial,1075657733,908.86,4
85,13.032398387244296,80.04698527229819,13.0367234,80.0463079,NH48,highway,102548402,486.49,4
86,13.054563788304534,80.11123616999572,13.053787,80.1131979,Mount - Poonamallee - Avadi Road,arterial,84658033,229.38,10
87,13.115452386829904,80.22177769916186,13.1188184,80.225731,Paper Mills Road,arterial,28342112,568.66,16
88,12.99647673229973,80.21129071587589,12.9991525,80.2147506,Five Furlong Road,arterial,26528685,478.59,7
89,12.965156366693078,80.19881414812885,12.9648611,80.1988128,MDR622,arterial,1112206456,32.83,19
91,12.817997080358904,79.71749863066442,12.8206376,79.7180123,Chengalpattu - Kancheepuram Highway,highway,84658039,298.85,6
92,13.032523052899029,80.1636542838093,13.0323644,80.1634373,Mount - Poonamallee - Avadi Road,arterial,268051706,29.39,18
93,13.07195961002429,79.67038825794106,13.0726049,79.671687,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,arterial,22832401,157.91,11
94,13.1323110281753,80.17135904078766,13.1323215,80.1714386,Chennai Bypass,highway,1285883363,8.69,19
96,12.743116745988331,79.99257792210645,12.7430501,79.9923106,Grand Southern Trunk Road,highway,760164439,29.92,2
97,12.979780829793512,80.22263322197513,12.9797452,80.2211016,Velachery Main Road,arterial,27480309,166.0,17
98,13.104728155190283,80.20446555729218,13.1038188,80.2043294,Konnur High Road,arterial,1393740215,102.19,19
99,13.01701244244172,80.1445133915509,13.0190631,80.1425374,Kodambakkam – Sriperumbudur Road,arterial,133602693,312.76,11
100,13.1114312689549,80.25028488671134,13.1084685,80.2502219,Unnamed secondary Road,arterial,1190588628,329.52,10
101,13.068332973556808,80.02968360902508,13.0712691,80.0330817,Thirumazhisai - Thiruvallur - Uthukottai Road,arterial,827608978,492.0,2
102,12.90087436996294,80.07216023353769,12.9005398,80.0710662,ORR Service Road,arterial,1075043290,124.28,3
103,13.039960618929957,80.24776252937406,13.040093,80.2471791,Anna Salai (Mount Road),arterial,1033115593,64.89,7
104,12.956000962355246,80.18681479930105,12.955952,80.1868305,Mount - Medavakkam Road,arterial,1030689332,5.7,9
105,13.090376752263348,80.10662116442244,13.0908856,80.1084504,Mount - Poonamallee - Avadi Road,arterial,755068758,206.04,18
106,12.939777921982191,80.14090250438989,12.9442642,80.1348523,Grand Southern Trunk Road,arterial,95641243,823.86,12
107,13.195402556777209,80.1553382332297,13.1955735,80.15511,ORR Service Road,arterial,1075657728,31.17,4
108,13.095786428657638,80.00558094216264,13.094362,80.0066645,Korattur – Thinnanur – Periyapalayam Road,arterial,31253119,197.13,5
109,13.158000657214492,79.89092097188883,13.1580761,79.8899642,Thirumazhisai - Thiruvallur - Uthukottai Road,arterial,830928084,103.93,2
110,13.08902582615487,80.18118091403457,13.0882287,80.1808849,Thirumangalam – Mogappair Road,arterial,843594863,94.26,32
112,12.925928794190517,80.10129093786149,12.9256076,80.1015803,Tambaram - Mudichur - Sriperumbudur Road,arterial,1369891461,47.53,7
113,13.056555231126335,79.91096135481182,13.0559984,79.9127309,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,arterial,68607345,201.43,2
114,13.297753538605878,80.15661343961779,13.2989391,80.1558252,Chennai – Pulicut Road,arterial,1284335446,157.02,2
115,13.029449708453312,80.11057631439644,13.029265,80.1112467,Poonamallee - Kundrathur - Pallavaram Road,arterial,31962668,75.47,10
117,12.967986277773328,80.14728706315317,12.9686602,80.148252,Indira Gandhi Road,arterial,371064642,128.64,12
118,13.071439725209352,80.21755196371025,13.0748287,80.2183293,EVR Periyar Salai,arterial,1149879722,386.13,18
119,13.025370411959722,80.18329931015856,13.0254551,80.1831086,Valluvar Salai,arterial,25454674,22.71,9
120,12.88767020953209,80.13969486026015,12.8896379,80.1396313,Unnamed secondary Road,arterial,1395680347,218.91,3
121,13.099749180380217,80.13691322144753,13.0982989,80.1367939,Thiruverkadu - Ambattur Road,arterial,385244157,161.78,12
