cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
55,13.039376075949567,80.09397534129918,13.0367052,80.0882577,ORR Service Road,arterial,1075006704,686.9,7
56,13.128869625867482,80.2571755968495,13.1290085,80.2589681,Meenambal Road,arterial,218212351,194.72,9
57,13.074023717332064,80.22594664277503,13.0739661,80.2258392,EVR Periyar Salai,arterial,100857282,13.28,13
58,12.969494599941717,80.04671405052189,12.9733407,80.0438986,Kodambakkam – Sriperumbudur Road,arterial,838067263,525.33,2
59,12.989823177112717,80.20281578352139,12.9935659,80.2012362,Mount - Medavakkam Road,arterial,361730132,449.99,12
60,13.107368791709314,80.18394547861213,13.1080587,80.1840833,East avenue Road,arterial,1363505643,78.15,10
61,12.91826284134913,80.09607610742844,12.922187,80.0950275,Tambaram - Mudichur - Sriperumbudur Road,arterial,721905363,450.9,7
63,12.953180567811646,79.9414639525484,12.9538471,79.9407667,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,arterial,832454586,105.84,9
64,13.121483871780192,80.1472508988851,13.1220414,80.1475336,Chennai - Tiruttani - Renigunta Road,highway,125180603,69.14,14
65,13.027877246561696,80.26163172758305,13.0268449,80.2616434,Venkatakrishna Road,arterial,31959761,114.8,6
66,13.058100130722922,80.27229305404259,13.057674,80.2740306,Triplicane High Road,arterial,23019250,194.08,15
67,13.06746808336204,80.12567034451536,13.0683804,80.1257164,Thiruverkadu - Ambattur Road,arterial,96944713,101.57,6
68,13.01136706957446,80.12187605181553,13.0105811,80.1232332,Kodambakkam – Sriperumbudur Road,arterial,834623262,171.05,4
69,12.918653567787793,80.15444815256294,12.9228958,80.1528405,Velachery Mudhanmai Salai,arterial,1148733672,502.86,5
70,13.063443832981632,80.16407635104002,13.0613983,80.1639265,EVR Periyar Salai,arterial,59294071,228.03,8
71,13.097969636240308,80.14226851629107,13.0976007,80.1423119,Thiruverkadu - Ambattur Road,arterial,385244157,41.29,10
72,13.081093742758371,80.26253023153276,13.0802951,80.2627848,EVR Periyar Salai,arterial,237621838,92.99,2
73,13.127645184096746,79.91709773813291,13.1265043,79.9107668,Unnamed primary Road,arterial,1055265031,697.21,8
74,13.08598350577792,80.18258580473382,13.0880551,80.1822288,Thirumangalam – Mogappair Road,arterial,102547878,233.57,24
75,13.145477508704577,80.2274713721339,13.147839,80.2309653,Madhavaram - Red Hills Road,arterial,102553782,460.52,5
76,12.825909327859618,79.7177813461204,12.821499,79.7157519,Chengalpattu - Kancheepuram Highway,highway,84658039,537.51,4
77,12.932425306035732,80.2099608733893,12.9335285,80.2039022,Velachery Mudhanmai Salai,arterial,1232329871,667.96,4
78,12.953169406151131,80.18553614447329,12.9530555,80.1864304,Mount - Medavakkam Road,arterial,1030689332,97.73,7
79,13.0263987804833,80.23001694615778,13.025697,80.2302949,Anna Salai (Mount Road),arterial,443502557,83.64,10
80,13.101068935500267,80.20322005445969,13.1030023,80.2043988,New Avadi Road,arterial,28224643,250.03,13
81,12.820391131924056,79.69266422674825,12.818838,79.6938217,Kancheepuram - Vandavasi Road,arterial,102270131,213.48,13
82,13.120209734413724,80.073996352248,13.1191996,80.074121,Chennai - Tiruttani - Renigunta Road,highway,1149807909,113.13,5
83,12.980078479862804,80.18512985554004,12.9759283,80.1927537,Mount - Medavakkam Road,arterial,179253495,946.24,11
84,13.056402612360955,80.2123104344172,13.0563198,80.2115936,Jawaharlal Nehru Road (100 Feet Road),arterial,1040143394,78.19,15
85,13.0300729257841,80.1127086167227,13.0300407,80.1113329,Poonamallee - Kundrathur - Pallavaram Road,arterial,835655062,149.08,6
86,12.7885976,79.67249494999999,12.7886139,79.6766879,Kancheepuram - Vandavasi Road,arterial,826468860,454.67,2
87,13.082517893418284,79.9079017050539,13.0827085,79.9084209,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,arterial,174970677,60.09,5
88,13.15273413146171,80.06591716673427,13.1463268,80.0682604,Unnamed secondary Road,arterial,1123856583,756.29,2
90,13.069553600006437,80.21235235539203,13.0668577,80.2098652,Jawaharlal Nehru Road (100 Feet Road),arterial,69610256,403.03,20
91,13.279146105617505,80.25645198028322,13.2811452,80.2569882,Ponneri - Minjur Highway,arterial,1395427578,229.74,3
92,13.086220583486298,80.11097901214812,13.086464,80.1086779,Mount - Poonamallee - Avadi Road,arterial,755068757,250.69,6
93,12.94674563691953,80.25430167423784,12.9467207,80.2540498,East Coast Road,arterial,132083268,27.44,3
94,13.058341026252007,80.24045456608032,13.058477,80.2404989,Tank Bund Road,arterial,22976288,15.86,4
95,13.1311180014529,80.28941862175748,13.1303324,80.2913551,Thiruvottriyur High Road,arterial,1040720212,227.16,5
97,13.119959860637293,80.23699667963386,13.1198966,80.2426964,Madhavaram High Road,arterial,26518353,617.28,11
98,13.04093711664294,80.17296077949896,13.040935,80.1730794,Arcot Road,arterial,550612245,12.85,13
99,13.02598294513038,80.02693465825611,13.0262679,80.0267769,NH48,highway,30128936,36.0,2
100,13.132275819265804,79.95861648816822,13.1322524,79.9586554,Chennai Tirupati Highway,highway,1060955082,4.95,2
101,13.13484777609425,80.17583649923438,13.1350476,80.175405,Vanagaram - Ambathur - Puzhal Road,arterial,1318548031,51.74,8
102,13.049534946858428,80.090847826501,13.0498673,80.091178,Chennai - Chittoor - Bangalore Road (Old NH4),arterial,31962667,51.43,16
103,13.055259184688763,80.19728214570839,13.0568071,80.1939951,Kaliamman Koil Street,arterial,838091913,395.47,15
104,13.085885101925896,80.20944944548735,13.0849658,80.2101631,"2nd Avenue, Anna Nagar West",arterial,549373929,128.15,10
105,12.901619068664235,80.14146013233734,12.9017086,80.1420017,Camp Salai,arterial,726604160,59.54,2
106,13.073761012605718,80.18243750031745,13.0738071,80.1812204,Thiruvalluvar Saalai,arterial,102484441,131.93,8
