cluster_id,centroid_lat,centroid_lon,student_count,avg_distance,max_distance,reachability_percentage
0,12.821505961083341,79.70625568717327,5,0.6526,0.993,29.411764705882355
1,13.117180438996764,80.24120720344277,2,0.49149999999999994,0.689,11.76470588235294
2,13.04943456305705,80.09406222218031,6,0.6928333333333333,0.919,35.294117647058826
3,12.972426002881903,80.13740879427637,8,0.517375,0.961,42.10526315789473
4,13.125411575517097,80.15066559466626,7,0.736,0.989,28.000000000000004
5,12.988694583196896,80.201861604658,4,0.52925,0.88,23.52941176470588
6,12.793207165577853,80.03296901329344,2,0.7135,0.917,66.66666666666666
7,13.116559794356956,80.09795011325251,6,0.5556666666666668,0.601,26.08695652173913
8,13.163365471235732,80.30267952054932,6,0.8133333333333334,0.969,42.857142857142854
9,13.114888749324875,80.20429507961936,7,0.7031428571428571,0.93,33.33333333333333
10,13.010924299273821,80.00605280583036,2,0.503,0.691,28.57142857142857
11,13.040297486449285,80.12533044190171,4,0.75825,0.984,13.333333333333334
12,13.272552184813481,80.26413109066542,2,0.87,0.987,50.0
13,13.090807611264323,80.22205132949685,2,0.7465,0.937,7.6923076923076925
14,12.92319139498918,80.19578184533721,2,0.7015,0.71,22.22222222222222
15,12.965722734552351,79.94938119364012,3,0.69,0.842,75.0
16,13.05001578515517,80.26984254015947,2,0.42600000000000005,0.468,11.11111111111111
17,13.085306800087766,80.18453084012859,10,0.7552000000000001,0.995,43.47826086956522
18,13.069323275837085,80.12943283112236,4,0.75375,0.887,50.0
19,13.117678747835024,80.28765117641645,2,0.6245,0.904,15.384615384615385
20,12.845492639359074,79.6949036533597,6,0.5588333333333333,0.943,50.0
21,13.029928131686184,80.22187711918667,7,0.7204285714285714,0.923,29.166666666666668
22,12.967159704526003,80.19111376754287,2,0.7995,0.872,10.0
23,13.003922433049963,80.09843680165177,2,0.9005,0.957,66.66666666666666
24,13.131298178532944,79.91463632072137,3,0.7983333333333333,0.835,30.0
25,13.15406489479951,80.1019252044686,2,0.5925,0.599,33.33333333333333
26,13.068874778370954,80.22175090080597,5,0.6788000000000001,0.978,21.73913043478261
27,13.09029468477834,80.11089500151229,3,0.649,0.655,42.857142857142854
28,12.946686768405833,80.14863726325294,2,0.7275,0.773,11.76470588235294
29,13.127117580045637,80.21719177635603,9,0.6914444444444445,0.87,33.33333333333333
30,13.033634751236052,80.1557531710178,2,0.6815,0.752,18.181818181818183
31,13.100548596254876,80.14605114714004,4,0.6012500000000001,0.951,50.0
32,13.104132118858907,80.18600379574237,3,0.8676666666666666,0.981,27.27272727272727
