Bus_ID,Sequence,Stop_Name,Latitude,Longitude,Students
BUS_65,2,ORR Service Road,13.0370201,80.0880854,11
BUS_65,3,Nazarathpet Road,13.045663,80.0798683,6
BUS_66,1,Chennai - Tiruttani - Renigunta Road,13.122126,80.1473929,38
BUS_67,1,Chennai - Tiruttani - Renigunta Road,13.1307576,80.1305618,31
BUS_68,1,Grand Northern Trunk Road (Old NH5),13.2522051,80.1554569,3
BUS_69,1,Korattur – Thinnanur – Periyapalayam Road,13.1770065,80.0292554,2
BUS_70,1,NH48,12.8964873,79.4979044,2
BUS_71,1,NH16,13.4087761,80.1211767,2
BUS_72,1,"2nd Avenue, Anna Nagar West",13.0850874,80.2083439,24
BUS_72,2,Anna Nagar 2nd Avenue,13.0852877,80.224195,18
BUS_73,1,EVR Periyar Salai,13.0748287,80.2183293,18
BUS_73,2,Konnur High Road,13.0983954,80.2354855,11
BUS_73,3,Konnur High Road,13.0995166,80.217425,13
BUS_74,1,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,12.8791391,79.9366357,5
BUS_75,1,Chennai - Tiruttani - Renigunta Road,13.1047646,80.1531682,8
BUS_75,2,Thiruverkadu - Ambattur Road,13.0974571,80.1462648,9
BUS_75,3,Thiruverkadu - Ambattur Road,13.0982989,80.1367939,12
BUS_75,4,Thiruverkadu - Ambattur Road,13.098807,80.1320216,7
BUS_76,1,Grand Southern Trunk Road,12.8644399,80.0745198,14
BUS_76,2,Grand Southern Trunk Road,12.8523903,80.0665875,2
BUS_76,3,Nellikuppam Road,12.8414097,80.0616652,3
BUS_77,1,ORR Service Road,13.1199574,80.0522794,7
BUS_77,2,Chennai - Tiruttani - Renigunta Road,13.1251146,80.0420347,5
BUS_77,3,Chennai - Tiruttani - Renigunta Road,13.1245513,80.0267371,6
BUS_78,1,Peters Road,13.0531773,80.2717407,11
BUS_78,2,Triplicane High Road,13.0600572,80.274274,15
BUS_78,3,Arunachalam Street,13.075789,80.2681402,9
BUS_78,4,Memorial Hall Road,13.0834125,80.2782213,2
BUS_79,1,Mahatma Gandhi Road,12.9962673,80.2624653,6
BUS_79,2,East Coast Road,12.9814436,80.2592991,7
BUS_79,3,Sardar Patel Road,13.0066442,80.24615,5
BUS_80,1,Thiruvottriyur High Road,13.1338671,80.2926645,4
BUS_80,2,Chennai - Ennore Road,13.1495337,80.2988791,10
BUS_80,3,Chennai - Ennore Road,13.1607411,80.3024955,8
BUS_80,4,Chennai - Ennore Road,13.1710834,80.305016,10
BUS_81,1,Chennai Bypass,13.1465943,80.2023367,6
BUS_81,2,Madhavaram - Red Hills Road,13.1555952,80.2269937,11
BUS_81,3,Paper Mills Road,13.1377265,80.2075976,16
BUS_81,4,Unnamed secondary Road,13.1439096,80.1902892,5
BUS_81,5,Unnamed primary Road,13.156321,80.196405,5
BUS_81,6,Grand Northern Trunk Road,13.1641203,80.2024375,9
BUS_82,1,Chennai - Chittoor - Bangalore Road,12.9263879,79.8811874,4
BUS_82,2,NH48,12.9338896,79.9087661,2
BUS_83,1,Kancheepuram - Vandavasi Road,12.780219,79.6776669,5
BUS_84,1,NH48,12.8712678,79.7112987,3
BUS_85,1,NH48,12.9814932,79.967806,4
BUS_86,1,Mount - Poonamallee - Avadi Road,13.116293,80.10278,14
BUS_86,2,Mount - Poonamallee - Avadi Road,13.1112241,80.1087043,16
BUS_86,3,Chennai - Tiruttani - Renigunta Road,13.1193384,80.0945052,24
BUS_87,1,4th Main Road,13.1022145,80.1068079,12
BUS_87,2,Kamarajanagar Main Road,13.1092007,80.095096,9
BUS_87,3,Chennai - Tiruttani - Renigunta Road,13.1192282,80.0733776,12
BUS_88,1,Kadambathur Bridge,13.0977707,79.8605871,2
BUS_89,1,ORR Service Road,13.1785269,80.0970981,4
BUS_90,1,Paper Mills Road,13.1233699,80.2228531,31
BUS_90,2,Paper Mills Road,13.1139891,80.2351816,19
BUS_91,1,Erukkancheri High Road,13.1391984,80.2274981,9
BUS_91,2,Paper Mills Road,13.1288541,80.215692,16
BUS_91,3,Paper Mills Road,13.1188184,80.225731,16
BUS_92,1,Binny Road,13.0073884,80.1988454,5
BUS_92,2,Five Furlong Road,12.9991525,80.2147506,7
BUS_93,1,Kancheepuram - Rajakulam Road,12.8380984,79.7277504,6
BUS_93,2,Kancheepuram - Rajakulam Road,12.8389849,79.7190597,4
BUS_93,3,Chengalpattu - Kancheepuram Highway,12.8180719,79.7326585,7
BUS_93,4,Chengalpattu - Kancheepuram Highway,12.8206376,79.7180123,6
BUS_94,1,Grand Southern Trunk Road,12.7430501,79.9923106,2
BUS_95,1,Narayana Guru Salai,13.088607,80.2635124,10
BUS_95,2,Purasawalkam High Road,13.0859571,80.2555208,11
BUS_95,3,Strahans Road,13.0977799,80.2528422,14
BUS_95,4,Unnamed secondary Road,13.1084685,80.2502219,10
BUS_96,1,Thirumazhisai - Thiruvallur - Uthukottai Road,13.0712691,80.0330817,2
BUS_97,1,ORR Service Road,12.9005398,80.0710662,3
BUS_97,2,Unnamed primary Road,12.8863302,80.0793426,5
BUS_98,1,Korattur – Thinnanur – Periyapalayam Road,13.094362,80.0066645,5
BUS_99,1,Thirumazhisai - Thiruvallur - Uthukottai Road,13.1580761,79.8899642,2
BUS_100,1,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,13.0559984,79.9127309,2
BUS_101,1,Chennai – Pulicut Road,13.2989391,80.1558252,2
BUS_102,1,Poonamallee - Kundrathur - Pallavaram Road,13.029265,80.1112467,10
BUS_102,2,Kodambakkam – Sriperumbudur Road,13.0097107,80.1211656,12
BUS_102,3,Chennai Bypass Expressway,13.0151619,80.1299135,6
BUS_103,1,Mount - Poonamallee - Avadi Road,13.0281033,80.17086,7
BUS_103,2,Manapakkam Main Road,13.0131711,80.1715601,5
BUS_103,3,Valluvar Salai,13.0254551,80.1831086,9
BUS_103,4,Arcot Road,13.040935,80.1730794,24
BUS_104,1,Unnamed secondary Road,12.8896379,80.1396313,3
BUS_105,1,Grand Southern Trunk Road,12.8101756,80.0298912,4
BUS_105,2,Grand Southern Trunk Road,12.798914,80.0227695,3
BUS_106,1,NH48,12.9006877,79.4603333,2
BUS_107,1,Marmalong Bridge - Irumbuliyur - Vandalur - Mudichur - Oragadam - Walajabad Road,12.8880479,80.026835,3
BUS_108,1,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,12.9895108,79.6765006,2
BUS_109,1,Thandalam - Perambakkam - Thakkolam - Arugilpadi Road,13.0299327,79.8278725,2
BUS_109,2,Thandalam - Perambakkam - Thakkolam - Arugilpadi Road,13.0356667,79.8153941,3
BUS_110,1,Kodambakkam – Sriperumbudur Road,12.9770792,80.0513148,2
BUS_111,1,Kancheepuram - Vandavasi Road,12.7494339,79.6754962,2
BUS_112,1,Medavakkam - Mambakkam - Sembakkam Road,12.8874935,80.1731108,2
BUS_113,1,Kamarajar Salai,13.0377577,80.2783566,11
