cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students,user_ids
528,12.948654916759658,80.19924962694527,12.9485908,80.1990259,Pallavaram - Thoraipakkam Road,arterial,198549092,25.27,2,"4197,6843"
529,13.152847,80.2509125,13.1550648,80.2440029,Unnamed secondary Road,arterial,1193479607,787.75,1,3118
530,13.083025748627673,80.23651836987534,13.0836251,80.2364657,Kilpauk Garden Road,arterial,147260612,66.89,2,"1205,6604"
531,13.276373414576664,80.26125616331383,13.2762969,80.2600636,Thiruvottriyur – Ponneri – Panchetty Road,arterial,1287028661,129.34,4,"3714,7825,5206,7570"
532,12.9006471,80.1616402,12.8849176,80.1610469,Agaramthen - Kovilanchery Road,arterial,27345441,1750.22,1,5122
533,12.86489478934918,80.06509512304132,12.8604882,80.0724426,Grand Southern Trunk Road,highway,95222430,935.15,3,"3046,5585,2909"
534,12.9830615,80.25947409999999,12.9830439,80.2594644,East Coast Road,arterial,23761085,2.22,1,7866
535,13.04457025,80.18997264999999,13.046474,80.1898411,Arcot Road,arterial,1300653477,212.17,2,"4757,1105"
536,12.9687147709962,80.1894819071643,12.968278,80.189535,Mount - Medavakkam Road,arterial,1082485674,48.91,3,"492,2606,5702"
537,12.997368228506108,80.26650604602841,12.9977868,80.2674886,Besant Nagar 2nd Avenue,arterial,27312535,116.19,4,"3978,5043,3528,8034"
538,13.196382669781794,80.27759814544487,13.1952156,80.2696964,Thiruvottriyur – Ponneri – Panchetty Road,arterial,833439136,865.22,2,"7876,3636"
539,13.141139,80.2238442,13.1415721,80.2241075,SHU87,arterial,1115919834,55.97,1,3139
540,13.112068808143354,80.02563885924422,13.1123123,80.0255604,Korattur – Thinnanur – Periyapalayam Road,arterial,349521474,28.38,1,2602
541,13.1396725,80.2529169,13.1364838,80.2553909,Tondiarpet High Road,arterial,26516678,444.39,1,6112
542,12.8324525,80.0673437,12.8341002,80.0682467,Unnamed secondary Road,arterial,1139100125,207.73,1,6655
543,13.160376759586043,80.0939121623473,13.1549788,80.0995605,Vellanur - Red Hills Road,arterial,835741614,856.91,1,5652
544,12.8375803,80.081781,12.8366354,80.0853268,GST Road - Arungal - Nallambakkam Road,arterial,30162691,398.52,1,3831
545,12.81202190300912,80.22415661447752,12.8103006,80.2275862,Rajiv Gandhi Salai,arterial,1065989167,418.23,1,6018
546,13.047233219969634,80.21880569203189,13.0473885,80.2189815,Dr Ambedkar Road,arterial,1055338019,25.71,9,"4672,5054,5918,769,3900,399,1532,2515,8059"
547,13.071869432070503,80.20306627442963,13.071584,80.2030448,Jawaharlal Nehru Road (100 Feet Road),arterial,95641235,31.82,1,3462
548,13.1053439,80.0313891,13.1055105,80.0231096,Korattur – Thinnanur – Periyapalayam Road,arterial,31253119,896.85,1,4591
549,13.04409842669338,80.21062184161237,13.0442005,80.2107732,PT Rajan Salai,arterial,30832653,19.94,1,2969
550,13.06371133770167,80.21189724180765,13.0636875,80.2117185,Jawaharlal Nehru Road (100 Feet Road),arterial,69610256,19.54,2,"766,4770"
551,13.00608878130909,80.11049665132494,13.0061252,80.1105473,Kodambakkam – Sriperumbudur Road,arterial,834623262,6.82,1,4956
552,13.03771722011831,80.26427496176548,13.0376204,80.2643051,Luz Church Road,arterial,47274829,11.25,1,5579
553,12.96394847366561,80.25644558217046,12.9638289,80.2564772,East Coast Road,arterial,131889967,13.73,2,"6058,2225"
554,12.681810008638717,79.98915835195932,12.6818576,79.9892197,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,arterial,1310326955,8.5,3,"4034,2180,5283"
555,12.95591460144305,80.14327199053696,12.9560737,80.14322,Grand Southern Trunk Road,arterial,1237149197,18.57,2,"5840,1330"
556,12.79935959912783,79.82009359406536,12.7994588,79.8201545,Marmalong Bridge - Irumbuliyur - Vandalur - Mudichur - Oragadam - Walajabad Road,arterial,840464638,12.86,1,3727
557,13.096625423972228,79.51570189183894,13.0961006,79.525464,Walajah - Sholinghur - Arakkonam Road,arterial,1220190859,1058.87,1,5412
558,13.1115847,79.4310052,13.1649857,79.4372602,Chittoor - Tiruttani Road,arterial,84658009,5976.43,1,5397
559,13.110993,79.4202974,13.1649857,79.4372602,Chittoor - Tiruttani Road,arterial,84658009,6278.41,3,"3860,5262,4849"
560,13.116195223718565,80.06444711402168,13.1206623,80.0658132,Chennai - Tiruttani - Renigunta Road,highway,1096943310,518.28,2,"3719,8100"
561,13.265545701342184,80.26657819932656,13.265677,80.266467,Thiruvottriyur – Ponneri – Panchetty Road,arterial,1287028661,18.92,1,7826
562,13.1051726,80.2046582,13.1038482,80.2048272,Konnur High Road,arterial,1393740215,148.4,1,2737
563,12.951200953170844,80.25486511580222,12.9513769,80.255062,East Coast Road,arterial,1056551447,28.95,3,"5144,369,7221"
564,12.992866963025032,80.21816821223612,12.9928918,80.2185602,Velachery Main Road,arterial,30604302,42.56,2,"2735,3022"
565,13.117925183075208,80.26145030583497,13.1179496,80.2614039,SHU87,arterial,1142163976,5.71,1,4280
566,12.8239579,80.0757487,12.8243956,80.0761834,Nellikuppam Road,arterial,1375776894,67.75,1,763
567,13.179169464256336,80.10314677275842,13.1792651,80.103127,ORR Service Road,arterial,1075657733,10.85,1,5992
568,13.0551033,80.0842224,13.0542572,80.0820094,ORR Service Road,arterial,1075752806,257.52,2,"1326,6589"
569,12.923390166075034,80.14396993094977,12.9225505,80.1436777,Velachery Mudhanmai Salai,arterial,1098516052,98.59,2,"6573,1761"
570,13.064690330377951,80.27831490658386,13.0647211,80.2783934,Wallajah Road,arterial,22977703,9.16,1,3553
571,13.108248886761958,80.2482676074303,13.1082873,80.2484144,Unnamed secondary Road,arterial,1190588628,16.46,3,"2664,7173,5794"
572,13.19568086033645,80.17627420598754,13.1949172,80.1763849,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,arterial,385231084,85.76,1,5698
573,13.024028577993317,80.22933092064227,13.0245992,80.2290433,Anna Salai (Mount Road),arterial,102457948,70.69,5,"5766,5765,2595,7314,2947"
574,12.8621186,80.073253,12.8622886,80.0735675,Grand Southern Trunk Road,highway,95222430,38.98,1,1261
575,13.1750723,80.0199562,13.1755133,80.0292943,Korattur – Thinnanur – Periyapalayam Road,arterial,834092625,1012.21,1,3330
576,13.1615582,80.1129052,13.1565719,80.1031195,Vellanur - Red Hills Road,arterial,835741614,1195.85,1,2850
577,13.004506371648656,80.2573104792296,13.0043535,80.2570073,Dr Muthulakshmi Salai,arterial,28278656,36.99,2,"1870,1122"
578,12.942707934787528,80.13356495354277,12.9426641,80.1333535,Grand Southern Trunk Road,arterial,95641243,23.43,1,5923
579,12.844473836429303,80.06001764302283,12.8443719,80.0602844,Grand Southern Trunk Road,highway,1080757448,31.06,2,"2573,8008"
580,13.172717422277634,80.09172516148872,13.1775034,80.0903136,ORR Service Road,arterial,1075657733,553.69,2,"2505,5409"
581,12.889472841088562,79.79337227166893,12.8893781,79.7935198,NH48,highway,1270603704,19.15,1,4990
582,13.17099841137972,80.19918805559739,13.1712023,80.1990209,Grand Northern Trunk Road,highway,92071975,29.01,1,7637
583,13.041424692888224,80.11461229734103,13.0413845,80.1145717,Poonamallee - Kundrathur - Pallavaram Road,arterial,31962668,6.27,2,"7328,6633"
584,13.193433335222531,80.15379728579946,13.1933944,80.1535059,ORR Service Road,arterial,1075636007,31.84,2,"5359,2173"
585,12.79298433130085,79.81860114579483,12.7933636,79.8178369,Marmalong Bridge - Irumbuliyur - Vandalur - Mudichur - Oragadam - Walajabad Road,arterial,831640380,92.98,3,"1407,5041,5035"
586,13.1074086,80.24424220000002,13.1071227,80.2438455,Perambur High Road,arterial,53348524,53.44,1,227
587,12.97930369942102,80.13391740202141,12.9767682,80.1326125,Poonamallee - Kundrathur - Pallavaram Road,arterial,1363528604,315.4,1,2347
588,13.053578414776975,80.26745616418722,13.053578,80.2674538,Peters Road,arterial,1189128150,0.26,4,"1358,6608,367,971"
589,13.168457573964604,79.8913540378496,13.168491,79.8912819,Thirumazhisai - Thiruvallur - Uthukottai Road,arterial,830928084,8.65,1,2645
590,12.8996987,79.67266320000002,12.9029882,79.6836506,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,arterial,704209766,1245.81,1,4310
591,12.958233140548508,80.12604371766989,12.9575314,80.1259866,Tiruneermalai Main Road,arterial,1149846409,78.28,6,"3191,7080,3734,1039,5634,1432"
592,13.0331392,80.1202474,13.0358273,80.112313,Poonamallee - Kundrathur - Pallavaram Road,arterial,835655062,910.02,1,3163
593,12.71517444841129,79.76053400940027,12.7133357,79.7537543,Uthiramerur - Kancheepuram Road,arterial,209681806,763.28,1,7919
594,13.16359925347792,80.2024279118711,13.1637113,80.202553,Grand Northern Trunk Road,highway,1294900820,18.4,1,6149
595,12.9675201,79.95284509999999,12.9670904,79.9534911,NH48,highway,1188088367,84.75,2,"5220,5292"
596,12.955813671668665,79.9426551163786,12.9558337,79.9427994,Tambaram - Mudichur - Sriperumbudur Road,arterial,1188091935,15.79,1,5317
597,12.931909574574991,80.14353965593232,12.9225498,80.1435005,Velachery Mudhanmai Salai,arterial,1098516052,1040.77,1,5911
598,12.7436006,79.99258189999999,12.7434007,79.9924281,Grand Southern Trunk Road,highway,1349158493,27.79,2,"1893,4308"
599,13.125932239357114,80.03115807564345,13.1254271,80.0307632,Korattur – Thinnanur – Periyapalayam Road Flyover,arterial,25395088,70.59,1,7377
600,12.8001749,80.22307405,12.8001456,80.2235233,Rajiv Gandhi Salai,arterial,760495118,48.82,2,"4935,7469"
601,12.859599824667049,80.04596416537143,12.8456378,80.0612724,Grand Southern Trunk Road,highway,1230246872,2272.53,1,807
602,13.180828517757382,80.02937107084223,13.1808193,80.0294029,Korattur – Thinnanur – Periyapalayam Road,arterial,834092625,3.6,1,7681
603,13.075947014472812,80.17605502828462,13.0743651,80.1811738,Thiruvalluvar Saalai,arterial,838218813,581.66,2,"793,4627"
604,12.95351891535294,80.21182258441117,12.953444,80.2118662,Velachery Main Road,arterial,1213515278,9.58,1,1914
605,12.8388855,80.0554292,12.8394528,80.0550878,Grand Southern Trunk Road,highway,755113388,73.14,1,7896
606,12.8154123,79.71306999999999,12.8102109,79.7121125,Military Road,arterial,209681804,587.61,2,"4338,7624"
607,13.215113385966424,79.98911007521502,13.2157509,79.9889028,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,arterial,1068239117,74.35,1,5247
608,13.035817448163094,80.05010162484126,13.0376361,80.0497034,NH48,highway,102548402,206.77,2,"1449,5797"
609,12.8642318,80.166051,12.8612599,80.1735377,Medavakkam - Mambakkam - Sembakkam Road,arterial,831085351,876.29,1,4373
610,13.211509608663542,79.76069149259065,13.2139629,79.7550908,MDR,arterial,564967389,664.83,1,3546
611,13.1596581,80.2583288,13.1633828,80.2594842,Kamarajar Salai,arterial,31020449,432.65,1,4465
612,13.102438132536433,79.90568612548577,13.1014177,79.9071475,Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,arterial,174970677,194.74,2,"1550,6615"
613,13.0165028,79.7337514,13.0154197,79.7344675,Thandalam - Perambakkam - Thakkolam - Arugilpadi Road,arterial,95385707,143.26,1,5833
614,12.701645236628869,79.6645978581696,12.7018052,79.6640702,Kancheepuram - Vandavasi Road,arterial,471593519,59.94,1,3066
615,13.1181068,80.033613,13.1217513,80.0312936,Korattur – Thinnanur – Periyapalayam Road Flyover,arterial,25395088,476.78,1,3352
616,13.12510111565772,79.92725094474153,13.1350295,79.928418,Chennai Tirupati Highway,highway,1040827858,1111.2,2,"5067,4964"
617,13.03814124900058,80.22862140093012,13.0391894,80.2314002,South Usman Road,arterial,1288011201,322.8,1,2995
618,13.109084398549866,80.15875858033469,13.1086038,80.1634068,Unnamed primary Road,arterial,1116156486,506.22,1,1594
619,13.127080658099231,80.10054731278379,13.1269555,80.1033193,Kovilpadagai Main Road,arterial,30078052,300.5,1,4818
620,12.799549532589571,79.77259050275127,12.8037528,79.7724487,Chengalpattu - Kancheepuram Highway,highway,84658039,467.63,1,4965
621,13.092546980153305,79.65972474087322,13.0925536,79.6595962,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,arterial,84658041,13.94,3,"2890,3679,4717"
622,13.246998185709025,80.15900977034113,13.2468589,80.1576637,Grand Northern Trunk Road (Old NH5),arterial,176037626,146.51,4,"3166,2420,2529,77"
623,13.101557708313406,80.23802825431896,13.0981089,80.2373343,Unnamed primary Road,arterial,1048280719,390.79,1,6789
624,13.107005925013064,80.13039185382115,13.098807,80.1320216,Thiruverkadu - Ambattur Road,arterial,385244157,928.61,3,"4422,4950,6331"
625,12.873576538021576,79.74273247161108,12.873636,79.7456045,Chennai - Ranipet - Chitoor - Kolar - Bangalore,highway,1232144873,311.4,2,"6920,4637"
626,13.06795667389374,80.14063129466322,13.0658485,80.1375814,Thiruverkadu - Ambattur Road,arterial,96944713,405.07,2,"4466,5051"
627,13.11540648398657,80.2342667090732,13.1143995,80.2340231,Paper Mills Road,arterial,1309299238,115.04,1,7590
628,13.0121537,80.0960924,13.0132188,80.0938241,ORR Service Road,arterial,1074994350,272.8,1,3625
629,13.030711379973935,80.23935501847366,13.0307688,80.2393946,Anna Salai (Mount Road),arterial,157989475,7.69,1,3177
630,13.1206894,80.1636884,13.121982,80.163728,Karukku Main Road,arterial,102454741,143.79,1,3090
631,12.916897285547993,79.86061250464296,12.916802,79.8608771,NH48,highway,1417307267,30.57,1,3769
632,12.83880422858708,79.70115953209492,12.8389031,79.7014596,NH132B,highway,1153252424,34.34,1,876
633,12.922017682829033,80.1932490042332,12.9204929,80.1966016,Velachery Mudhanmai Salai,arterial,1068188846,400.96,2,"7494,2940"
