cluster_id,centroid_lat,centroid_lon,student_count,avg_distance,max_distance,reachability_percentage
0,13.043119321773027,80.22075017327332,13,0.8416153846153847,0.989,52.0
1,12.850946034470528,79.70718013034738,4,0.42,0.573,80.0
2,13.054446332638776,80.11182806696435,11,0.4629999999999999,0.826,61.111111111111114
3,13.083778994975376,79.90796129087872,6,0.48233333333333334,0.795,60.0
4,13.159469285613406,80.20025629658733,4,0.6292500000000001,0.684,22.22222222222222
5,12.8904664571407,80.14012850222488,4,0.472,0.854,100.0
6,13.080433197805887,80.16439972859011,14,0.41107142857142864,0.781,66.66666666666666
7,13.13483855861001,80.29301525901516,8,0.374625,0.792,80.0
8,12.969810006002787,80.18966089078641,6,0.4263333333333333,0.786,75.0
9,12.953972896898096,79.94161017509659,13,0.3841538461538461,0.641,100.0
10,13.123078081474148,80.02750091621338,2,0.8015000000000001,0.807,18.181818181818183
11,12.664165687092328,79.54129111385599,6,0.3661666666666667,0.647,100.0
12,13.072594458437143,79.67184531544743,8,0.5277499999999999,0.786,61.53846153846154
13,13.11684602618656,80.09796383265471,13,0.5668461538461538,0.869,27.083333333333332
14,13.099891341476901,80.2154343804421,14,0.4276691941860332,0.9914733472066964,87.5
15,12.89667588642226,79.49775029221647,2,0.011666381448988614,0.011666381706762471,100.0
16,12.693481811973136,79.97741949536254,8,0.5499109413972036,0.8235721352295061,88.88888888888889
17,12.938008999513924,80.14856508960419,14,0.5068040665373188,0.9057787289746085,93.33333333333333
18,13.025782190744383,80.14944679850589,8,0.4765169348380939,0.6214903014596824,100.0
19,12.924776967229123,80.10047609501633,6,0.3457423880519974,0.6154077203178413,100.0
20,12.810524713754322,79.70854872617883,13,0.5789128831317627,0.9563815533600142,81.25
21,13.121015789249544,80.14751290100473,37,0.3355251427448568,0.9286122204708604,94.87179487179486
22,13.059907360246921,80.27433822979859,18,0.318576995057529,0.6574105167989591,90.0
23,12.990455901895078,80.26096581333483,4,0.532971895411545,0.7771168709826382,30.76923076923077
24,13.332827093716654,79.88998811246046,3,0.41478050107972536,0.540482393889019,100.0
25,13.271500202194119,80.26378869065167,3,0.555480458810325,0.8273071619800374,100.0
26,13.135967784617101,79.92754975826355,4,0.24590292156202226,0.4917414936592331,100.0
