cluster_id,centroid_lat,centroid_lon,student_count,avg_distance,max_distance,reachability_percentage
0,12.91531840279953,80.19373348033763,5,0.6964,0.811,55.55555555555556
1,13.089972497271638,80.10816823873749,11,0.6357272727272727,0.942,50.0
2,12.822091727344988,79.69835646133417,17,0.3071176470588236,0.756,100.0
3,13.123188140290628,80.22337292101453,28,0.48875,0.77,93.33333333333333
4,13.123681793453937,79.91161926076151,20,0.4363,0.575,100.0
5,13.021037971782798,79.6768576588128,3,0.551,0.827,100.0
6,13.06015546984762,80.19452046524722,15,0.5638666666666665,0.897,75.0
7,13.018118658981974,80.12814891843828,6,0.6776666666666668,0.687,66.66666666666666
8,13.025850322275401,80.26374009415441,6,0.777,0.856,37.5
9,13.279915316912906,80.25815335755169,6,0.46649999999999997,0.616,85.71428571428571
10,12.958057953872284,79.94402658221624,2,0.5815,0.664,33.33333333333333
11,13.130312172832253,80.15826866390097,31,0.2854193548387097,0.981,88.57142857142857
12,13.108556581421663,79.42525307751924,3,0.9056666666666667,0.951,60.0
13,13.164301139504401,80.30085687874383,11,0.6186363636363637,0.986,91.66666666666666
14,12.967853864696508,80.14719498204279,3,0.7503333333333333,0.89,25.0
15,12.666148959787538,79.54024669576587,6,0.41133333333333333,0.838,85.71428571428571
16,13.099668943294942,79.6553098729447,15,0.27920000000000006,0.444,93.75
17,12.617607025905452,79.75991797567042,5,0.5454,0.805,83.33333333333334
18,12.98662535253347,80.20692185937332,7,0.42499999999999993,0.878,63.63636363636363
19,13.333323506769396,79.8904993139731,6,0.31,0.759,100.0
20,13.05088815302856,80.0932404738242,17,0.5212352941176471,0.93,100.0
21,13.09667942118276,80.2902974266225,8,0.553625,0.917,57.14285714285714
22,13.07916112433934,80.18094484595284,34,0.2923529411764706,0.647,100.0
23,13.03340677687539,79.85344374518247,5,0.35059999999999997,0.871,100.0
24,13.066264236690024,80.23161503443183,3,0.43566666666666665,0.708,50.0
25,13.31975326297388,80.18266662868244,4,0.029500000000000002,0.043,100.0
26,13.192453968384198,80.18691905308593,5,0.48979999999999996,0.924,55.55555555555556
27,13.04768302600312,80.16577366322359,7,0.595,0.827,77.77777777777779
28,12.915265484222491,80.1529335036029,11,0.43981818181818183,0.726,84.61538461538461
29,12.806764609924453,80.22546408894345,2,0.6415,0.834,40.0
30,13.119620545101679,80.07476075149502,14,0.2626428571428571,0.656,93.33333333333333
31,13.103790050950096,80.20083605179626,7,0.5237142857142858,0.563,41.17647058823529
32,12.804155247503175,79.76762914587353,6,0.27166666666666667,0.53,66.66666666666666
33,13.029061478388673,80.20822196264974,10,0.47119999999999995,0.751,71.42857142857143
34,12.914150452730325,80.09441206079386,5,0.5492000000000001,0.877,100.0
35,13.108068039812474,80.09742191660584,8,0.50775,0.922,80.0
36,13.103754853173319,80.25026641492805,7,0.4767142857142857,0.582,46.666666666666664
