cluster_id,latitude,longitude,student_count,avg_distance_km,max_distance_km,nearest_stop_distance_km
240,13.12046506860825,80.20631609281322,14,0.36454814732434204,0.7659643298678307,0.6839195642917271
241,13.120217691646069,80.20001380001764,22,0.3341672566643878,0.8650456699753026,0.6839195642917271
1,12.837511830676132,79.70624251666541,29,0.95298070259497,5.6240882354739945,1.537264384686048
2,12.92108834336016,80.09115201753492,18,0.3044291403266414,0.7067837628191839,1.65961101536785
4,13.025683282240763,80.18062433105301,14,0.6267070418565687,1.1714858193777982,1.8512707826588612
5,13.111839836047784,80.03021365308142,4,1.3114387111504633,3.2339472545904866,1.6588627748930591
6,13.091347839165492,79.66159754823532,20,1.0558537052941963,11.768604883344894,1.262195480473648
7,12.692866563797102,79.97793057093581,14,0.4480383855789505,1.2634433898267434,1.3212323516649926
8,13.3425842,80.2209773,7,2.7667958395362278,7.253355503713912,3.075489354505925
9,13.099292569948691,80.14122048755839,26,0.7476906322539811,1.5484031612879103,1.9620589877279981
10,12.90108798685761,79.46049749681943,6,0.797235963968762,4.08890005775388,11.584783560778869
11,13.107031411127151,79.91200739794142,17,0.6145157119975441,1.0032482828276734,1.888998632105631
12,13.11494087001843,80.28281457690295,16,0.28311456781094196,0.6459959889217642,1.0427988116555056
13,12.982953795125685,80.20380727397155,28,0.5543384335274611,1.1094347431638452,1.3311996999104927
14,13.071607028837468,80.24509709505772,11,0.7743926552988153,1.130960716597302,1.6817136127476244
15,12.92345466559083,80.14688657310123,16,0.5335285262619011,1.0034035848574232,1.3898337492699415
16,13.037870959708819,80.09064229703424,8,0.5209962874399751,2.0455156917062802,1.343088373508735
17,12.666051780269692,79.54026960159828,7,0.4122977468170518,0.7340383918313662,13.764559035818733
19,13.10875776,79.42512667999999,6,2.2948561225166757,9.913259725625041,21.71811376056842
20,12.924678004629577,79.87417646693463,5,2.6441755885205867,9.595265753857706,8.162880588740403
21,12.798261053583891,80.21972751826323,9,2.0128109437792205,7.695366302963708,9.964254202425368
22,13.117222476107948,80.09858458087095,29,0.4342645801403171,1.111196506107269,1.327825981226568
